,ID,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,reviews,ratings,Processed review
0,0,0.047,0.743,0.211,0.8176,0.011526433750987053,0.17350280284881592,0.8149707317352295,    Straightforward check in T5. New site for club check in and it works well. All lounges busy but good food offerings. On time departure for a completely full flight in all cabins. Sound food and drink offered with the exception of inferior quality champagne. Crew coped well for this busy and quite short flight. Slept for a few hours. Afternoon tea food was good but portions very small. Early landing and luggage off quickly.,8,Straightforward check T5. New site club check work well. All lounge busy good food offerings. On time departure completely full flight cabins. Sound food drink offered exception inferior quality champagne. Crew coped well busy quite short flight. Slept hours. Afternoon tea food good portion small. Early landing luggage quickly.
1,1,0.184,0.738,0.077,-0.9842,0.8269656300544739,0.1623220145702362,0.01071227714419365,"  I am beyond upset and disgusted with the disregard, lack of knowledge and lies that your company has put me through. Each call I have had with a different representative has lead to no help, nothing being resolved and false information. Due to no longer being able to fly for my original flight, I called and spoke to someone who gave me a new reference number where I could book at a later date/destination or change the name. I then had a close family member pass away suddenly to which I then offered my mother my ticket to fly out for the funeral, as I was told I could change the name. When then calling and trying to do this, I then got told that I was unable to do this unless we proved this by sending the death certificate as stated in the ‘policy’. After questioning this and not wanting to get false information, I made this representative double check and confirm this to which she did. After then troubling my aunt and uncle, who are grieving over the sudden loss of their son (my cousin) for this documentation, we then sent it to the to email provided and called to get this now changed into my mothers name. To which we then found out was yet ANOTHER lie and that this cannot be done as you can only change the name if the ticket holder has passed away (which makes no sense as they would be dead so how can they challenge a name change.) After expressing my feelings of mistrust, that I would be taking it further as I no longer wanting to have anything to do with this company, I was told that I wasn’t allowed any refund and was only allowed to book it at a later date. I then challenged the representative to speak to a manger to which I was told, they had none working, they had gone home and that no one had any direct email. After then putting in a formal complaint 5 MONTHS AGO WITH STILL NO RESPONSE. I called back to use the money to book a new flight to say I couldn't as it was a less amount (even after saying fine keep the remaining money) and I was only allowed to book the same amount or more (scam to get more money out of you). When asking to speak to a manager, shock horror, there isn't one working. When looking at the status of my complaint he said there is a back log and will get to it eventually (says a lot if the back log of complaints is longer than 5 months). To then be told there is nothing he can do. I am beyond appalled, hurt and frustrated by this whole experience and will be spreading the word and my story to every known platform and review website possible till I speak to someone who, genuinely knows what they are talking about and can come to a mutual agreement/resolve the issue as, the information I was told only leaves me to believe that this company doesn’t care AT ALL about its customers and only cares about money and profit.",1,"beyond upset disgusted disregard, lack knowledge lie company put through. Each call different representative lead help, nothing resolved false information. Due longer able fly original flight, called spoke someone gave new reference number could book later date/destination change name. close family member pas away suddenly offered mother ticket fly funeral, told could change name. When calling trying this, got told unable unless proved sending death certificate stated ‘policy’. After questioning wanting get false information, made representative double check confirm did. After troubling aunt uncle, grieving sudden loss son (my cousin) documentation, sent email provided called get changed mother name. To found yet ANOTHER lie cannot done change name ticket holder passed away (which make sense would dead challenge name change.) After expressing feeling mistrust, would taking longer wanting anything company, told wasn’t allowed refund allowed book later date. challenged representative speak manger told, none working, gone home one direct email. After putting formal complaint 5 MONTHS AGO STILL RESPONSE. called back use money book new flight say less amount (even saying fine keep remaining money) allowed book amount (scam get money you). When asking speak manager, shock horror, one working. When looking status complaint said back log get eventually (says lot back log complaint longer 5 months). To told nothing do. beyond appalled, hurt frustrated whole experience spreading word story every known platform review website possible till speak someone who, genuinely know talking come mutual agreement/resolve issue as, information told leaf believe company doesn’t care customer care money profit."
2,2,0.103,0.884,0.013,-0.8332,0.6660977602005005,0.3103087544441223,0.02359347976744175,"    I purchased round trip direct flight business class ticket for my family from Hong Kong to London. A few days before the trip, the airline cancelled our return flight without giving any reasons and booked us on a flight routing via Doha which gave us 2 hour layover. On the day of departure, the flight was delayed by more than 2 hours as a result of ""crew shortage"". When getting on the flight, we enquired about whether we'd be able to make the flight and we were told that given many passengers are on the same flight the Doha to Hong Kong flight would wait. When we arrived we were told that our flight already departed and the next flight available was 6 hours later. We had to wait 1 hour to get our boarding passes and then was only given access to the lounge when there is an airport hotel. After the flight we reached out to make a complaint and ask for monetary consideration given the experience, the airline has not responded for more than a month. We paid up for the direct flight and premium seating, but the experience was overall very poor.",1,"purchased round trip direct flight business class ticket family Hong Kong London. day trip, airline cancelled return flight without giving reason booked u flight routing via Doha gave u 2 hour layover. On day departure, flight delayed 2 hour result ""crew shortage"". When getting flight, enquired whether we'd able make flight told given many passenger flight Doha Hong Kong flight would wait. When arrived told flight already departed next flight available 6 hour later. We wait 1 hour get boarding pass given access lounge airport hotel. After flight reached make complaint ask monetary consideration given experience, airline responded month. We paid direct flight premium seating, experience overall poor."
3,3,0.128,0.81,0.061,-0.34,0.5083931088447571,0.45353108644485474,0.0380757674574852,"  I booked two business class seats. We had a medical emergency and couldn't make the first leg of the trip. We then wanted to re-book an outgoing flight but were told that the entire travel was cancelled. Cost: $10k. Of course, we know that BA turned around and re-sold the return tickets. ",1,"booked two business class seats. We medical emergency make first leg trip. We wanted re-book outgoing flight told entire travel cancelled. Cost: $10k. Of course, know BA turned around re-sold return tickets."
4,4,0.042,0.667,0.291,0.9039,0.012820957228541374,0.10120408236980438,0.8859750032424927,  Although all four flights were delayed the service offered by BA was exceptional. The food and drink offered on the domestic and international sectors was extremely good as was the attention of the cabin crew. Some disorganised boarding on return from Newark. The BA lounge service at Newark was excellent. Overall a good and satisfying trip.,9,Although four flight delayed service offered BA exceptional. The food drink offered domestic international sector extremely good attention cabin crew. Some disorganised boarding return Newark. The BA lounge service Newark excellent. Overall good satisfying trip.
5,5,0.172,0.711,0.117,-0.0772,0.5828203558921814,0.3794447183609009,0.03773494064807892,"    Flight changed just one day before from British Airways to Titan. Flight delayed 2 hours. No meal served, and no entertainment. Again the flight changed to Titan for the way back.",1,"Flight changed one day British Airways Titan. Flight delayed 2 hours. No meal served, entertainment. Again flight changed Titan way back."
6,6,0.226,0.708,0.065,-0.5994,0.6475968956947327,0.33329305052757263,0.019110092893242836,  Delayed flight 1 hour. Arbitrary cancellation of paid for reserved seats - no response to formal complaint or explanation. Flight back to London cancelled giving 3 days notice. No reason given. Alternative flight offered two days later. Travelling with son and daughter. ,2,Delayed flight 1 hour. Arbitrary cancellation paid reserved seat - response formal complaint explanation. Flight back London cancelled giving 3 day notice. No reason given. Alternative flight offered two day later. Travelling son daughter.
7,7,0.141,0.654,0.206,0.4588,0.04944765195250511,0.27847498655319214,0.6720774173736572,  Flown with BA four times. As an anxious traveller I can’t recommend them enough. Constant updates from the pilot if there are delays and the cabin crew are brilliant every time. Will always use BA in the future.,10,Flown BA four times. As anxious traveller can’t recommend enough. Constant update pilot delay cabin crew brilliant every time. Will always use BA future.
8,8,0.0,0.896,0.104,0.6298,0.6740473508834839,0.3014712929725647,0.024481339380145073,"    You may never see your refund. I cancelled my return flight and they sent my refund to Pakistan and told me I must have a Pakistani credit card i forgot i used to purchase my flight. Took 3+ calls for them to admit this Pakistan card wasnt mine and they sent someone else my money. After calling about 12 total times over 3 months they finally sent me half my refund  and told me they don't owe me anything. You told me what you owed me (132$ on a 700$ ticket), sent it to Pakistan, and now you only owe me half that (75$)? ",1,"You may never see refund. cancelled return flight sent refund Pakistan told must Pakistani credit card forgot used purchase flight. Took 3+ call admit Pakistan card wasnt mine sent someone else money. After calling 12 total time 3 month finally sent half refund told owe anything. You told owed (132$ 700$ ticket), sent Pakistan, owe half (75$)?"
9,9,0.03,0.875,0.095,0.8338,0.11114632338285446,0.4990387558937073,0.38981494307518005,"  Cargo service: that's how I felt in the A380 upper deck (supposedly nicer than the main deck for business) but packed in on the 2-3-2 configuration, head to tail as BA loves to configure its seats to make more money, I failed to enjoy business class or feel like it was worth the money. The lie-flat seats do that, as narrow as they are, and only by lowering the foot rest...the foot rest over which the person not on the aisle (I was on the aisle) has to step or crawl to get to the aisle. One can get a couple of fitful hours of sleep but only with luck. The seat controls on the A380 are primitive and antiquated. The food served was a bit better than coach but only minimally so. Well-cooked (dead) supposedly Scottish salmon. Salads with tough bits of green. If I'd paid coach+ prices for this, I'd have been sort of pleased. But business class? BA continues to hoover money out of flyers' pockets for minimal quality...and charges all but their higher grades of customers for the ""privilege"" of choosing seats in advance of 24 hr check-in. Some of their newer planes have the more traditional all-facing-forward business class....but many do not. It's really a gamble whether you'll get a pod in business or simply a lie-flat space next to many of your new-found friends...and be awakened by them. It's really time for BA to either reduce their business class prices to reflect the mediocre product or step up and re-allocate space for normal business pod seats all through their fleet.",5,"Cargo service: that's felt A380 upper deck (supposedly nicer main deck business) packed 2-3-2 configuration, head tail BA love configure seat make money, failed enjoy business class feel like worth money. The lie-flat seat that, narrow are, lowering foot rest...the foot rest person aisle (I aisle) step crawl get aisle. One get couple fitful hour sleep luck. The seat control A380 primitive antiquated. The food served bit better coach minimally so. Well-cooked (dead) supposedly Scottish salmon. Salads tough bit green. If I'd paid coach+ price this, I'd sort pleased. But business class? BA continues hoover money flyers' pocket minimal quality...and charge higher grade customer ""privilege"" choosing seat advance 24 hr check-in. Some newer plane traditional all-facing-forward business class....but many not. It's really gamble whether get pod business simply lie-flat space next many new-found friends...and awakened them. It's really time BA either reduce business class price reflect mediocre product step re-allocate space normal business pod seat fleet."
10,10,0.089,0.911,0.0,-0.5423,0.5404398441314697,0.37498682737350464,0.08457338064908981,"  Inefficient and slow airport operation. Resting on their laurels. Many staff standing around doing very little at Terminal 5, yet not completing their basic tasks - I had to return three times for them to properly do the document check. Fees as bad as Ryanair for any extras. Average, somewhere below easyJet, above Ryanair, for now. Presumably that's what they're aiming for.",4,"Inefficient slow airport operation. Resting laurels. Many staff standing around little Terminal 5, yet completing basic task - return three time properly document check. Fees bad Ryanair extras. Average, somewhere easyJet, Ryanair, now. Presumably that's they're aiming for."
11,11,0.092,0.831,0.076,-0.5236,0.8583976030349731,0.12606143951416016,0.015541015192866325,"   The customer service is one of the worst I have ever seen. They will scheme and give you untruths. We were not allowed on our original flight because of some ""technical"" issue on their end, and had to call the airline because they could not do anything at the counter. $600 additional later, we are booked on the next flight in 12 hours. We paid for services on the original flight and asked for it to be moved, nothing happened. We had to pay for the services all over again. Next the second connecting flight, we sat on the tarmac for over two hours, then we deplaned at midnight without going anywhere! They did not even give us an hotel, we had to spend the night at the airport. They gave us a flight the enxt day, from London to Zurich, but it was three connecting flights with an hour gap each, London - Brussels - Amsterdam - Zurich, absolute nonsense! The first flight itself was delayed, so of course we missed all the other connections, and they would not pick up the phone or help us, nothing. We had zero help from BA and had to spend 10 hours at Brussels ariport sorting out and buying new tickets ourselves. We are out over $2500 at this point, with zero response from BA to reimburse us for their planning. Our final flight to India from Zurich was also delayed, we sat on the tarmac for 2 hours before the flight finally took off. costs!",2,"The customer service one worst ever seen. They scheme give untruths. We allowed original flight ""technical"" issue end, call airline could anything counter. $600 additional later, booked next flight 12 hours. We paid service original flight asked moved, nothing happened. We pay service again. Next second connecting flight, sat tarmac two hours, deplaned midnight without going anywhere! They even give u hotel, spend night airport. They gave u flight enxt day, London Zurich, three connecting flight hour gap each, London - Brussels - Amsterdam - Zurich, absolute nonsense! The first flight delayed, course missed connections, would pick phone help us, nothing. We zero help BA spend 10 hour Brussels ariport sorting buying new ticket ourselves. We $2500 point, zero response BA reimburse u planning. Our final flight India Zurich also delayed, sat tarmac 2 hour flight finally took off. costs!"
12,12,0.263,0.561,0.176,-0.8062,0.9213570952415466,0.06930623948574066,0.009336679242551327,"  Before my flight, I was forced by the ground staff to check in my new, expensive cabin luggage, despite the fact that it met all size requirements. I was informed that the plane was full and assured by staff that my luggage would be well taken care of. Unfortunately when my bag was returned to me, it was scratched and damaged. This is completely unacceptable, especially given the assurances I received. When I lodged a complaint, it fell on deaf ears, there has been no acknowledgment or resolution from British Airways. The funny thing is that the overhead lockers were empty! This experience has been extremely frustrating and disappointing. The lack of care for both customer property and customer service is glaring.",1,"Before flight, forced ground staff check new, expensive cabin luggage, despite fact met size requirements. informed plane full assured staff luggage would well taken care of. Unfortunately bag returned me, scratched damaged. This completely unacceptable, especially given assurance received. When lodged complaint, fell deaf ears, acknowledgment resolution British Airways. The funny thing overhead locker empty! This experience extremely frustrating disappointing. The lack care customer property customer service glaring."
13,13,0.0,0.42,0.58,0.9773,0.003148067044094205,0.026084814220666885,0.970767080783844,    British Airways at its best. Outstanding service from the flight attendants. Dinner very good though breakfast could be better. Excellent IFE. The lie flat seat is extremely comfortable. A very pleasant flight on board an A350.,8,British Airways best. Outstanding service flight attendants. Dinner good though breakfast could better. Excellent IFE. The lie flat seat extremely comfortable. pleasant flight board A350.
14,14,0.043,0.543,0.414,0.9943,0.003946727607399225,0.024586422368884087,0.9714668989181519,"  An excellent flight! Despite this being a 4.5 hour flight in a A320 that is configured for short hops to Edinburgh or Glasgow, and despite there being no IFE, I ended up really enjoying the flight. I don't know if it was just that I had really low expectations, but I thought the crew were fabulous, and the food and wine was surprisingly good. The plane itself looked very new and was in perfect condition. From the very start, I really liked the crew - they were all cheerful, genuine, and clearly enjoying their work. I noticed they constantly had friendly and proactive interactions with passengers, and when the food and drink came around, they were generous with the wine - and happily provided top-ups later in the flight. The food box was deceptively small - it actually contained a decent selection of food, and was more than enough to keep me feeling satisfied on this trip. There were regular, and detailed, updates from the cockpit which I also appreciated. So whilst the hard products on this flight were limited, it was the service - and the genuine enjoyment of the crew - that won me over.",8,"An excellent flight! Despite 4.5 hour flight A320 configured short hop Edinburgh Glasgow, despite IFE, ended really enjoying flight. know really low expectations, thought crew fabulous, food wine surprisingly good. The plane looked new perfect condition. From start, really liked crew - cheerful, genuine, clearly enjoying work. noticed constantly friendly proactive interaction passengers, food drink came around, generous wine - happily provided top-up later flight. The food box deceptively small - actually contained decent selection food, enough keep feeling satisfied trip. There regular, detailed, update cockpit also appreciated. So whilst hard product flight limited, service - genuine enjoyment crew - over."
15,15,0.119,0.774,0.107,-0.5003,0.4454779326915741,0.39290255308151245,0.16161946952342987,"  I recently traveled with British Airways and had a mixed experience. Booking and Check-in: The booking process was straightforward, but our experience at the baggage counter was frustrating. While we were in line, the three employees at the counter took a 45-minute break before processing our luggage, which caused unnecessary delays. Flights: The flight to London was fine, and we enjoyed our time in the lounge during our layover, despite the delay. The connecting flight to DFW was also fine. Baggage Issues: Unfortunately, our luggage did not make it onto our flight to DFW. We arrived at DFW on Wednesday, 8/7/24, and as of 8/11/24, we still have not received our luggage. Customer Service: The most disappointing aspect has been the customer service. They have been dismissive, and no one has taken responsibility or provided a timeline for when our bags will be delivered. Overall, while the flights themselves were okay, the baggage handling and customer service has been horrible.",3,"recently traveled British Airways mixed experience. Booking Check-in: The booking process straightforward, experience baggage counter frustrating. While line, three employee counter took 45-minute break processing luggage, caused unnecessary delays. Flights: The flight London fine, enjoyed time lounge layover, despite delay. The connecting flight DFW also fine. Baggage Issues: Unfortunately, luggage make onto flight DFW. We arrived DFW Wednesday, 8/7/24, 8/11/24, still received luggage. Customer Service: The disappointing aspect customer service. They dismissive, one taken responsibility provided timeline bag delivered. Overall, flight okay, baggage handling customer service horrible."
16,16,0.205,0.769,0.026,-0.9107,0.8294663429260254,0.15636228024959564,0.014171373099088669,"    My family and I were booked to leave London for Hong Kong on 2 August. After having been made to wait at the airport for 3.5 hours, we were told at midnight that our aircraft had bee struck by lightning and our flight was cancelled. Everyone was sent home (we had to scramble to find transportation) and were told to wait for re-routing information. We were booked to travel two days later to HK via the Middle East with an 8-hour stopover. Needless to say we refused this flight. The worst trick by BA is that all our original flight booking references were deleted from their system and we can therefore not apply for compensation of any of our additional transportation, hotel and meal costs.  I cannot find the words to express my anger. Not as much as an apology has been received! ",1,"My family booked leave London Hong Kong 2 August. After made wait airport 3.5 hours, told midnight aircraft bee struck lightning flight cancelled. Everyone sent home (we scramble find transportation) told wait re-routing information. We booked travel two day later HK via Middle East 8-hour stopover. Needless say refused flight. The worst trick BA original flight booking reference deleted system therefore apply compensation additional transportation, hotel meal costs. cannot find word express anger. Not much apology received!"
17,17,0.161,0.671,0.167,-0.067,0.5988459587097168,0.3092515468597412,0.09190245717763901,"   We had to change from AA to BA for a flight to London because of a missed connection. The flight was OK, but in the process our bags were delayed. We waited for 2 days at our destination, reading regular unhelpful updates from BA about receiving our luggage, and finally had to return to the airport twice to pick them up personally because no one lifted a hand to take them off the carousel. We have now waited 3 months (and counting) for a claim to be processed. This is absolutely the worst experience I've had in 50 years of plane travel. The company has cleverly designed their website and phone tree to deter contact. Their ""Live Chat"" guides you by asking if you want to chat about a booking or something else. In spite of entering ""NO"" to the option about asking about a booking, it takes you there anyway, just like being on a baggage carousel with no one attending or caring. At least I'm not alone, judging from the number of similar complaints about how terribly they treat customers.",2,"We change AA BA flight London missed connection. The flight OK, process bag delayed. We waited 2 day destination, reading regular unhelpful update BA receiving luggage, finally return airport twice pick personally one lifted hand take carousel. We waited 3 month (and counting) claim processed. This absolutely worst experience I've 50 year plane travel. The company cleverly designed website phone tree deter contact. Their ""Live Chat"" guide asking want chat booking something else. In spite entering ""NO"" option asking booking, take anyway, like baggage carousel one attending caring. At least I'm alone, judging number similar complaint terribly treat customers."
18,18,0.143,0.664,0.193,0.6705,0.5957217216491699,0.32091644406318665,0.08336185663938522,"  After paying $6500 for tickets for my family (including having to pay over $400 just to sit together as we were traveling with kids), they ran out of chicken dinners. My kids are picky and wont eat vegetarian curry. I dont mind the curry, in fact I thought it was pretty good. But at least maybe feed the kids first or check. I don't understand how you can run out when we have to pay so much. The only explanation to me is that the airline is greedy and will try to save a nickel than make everyone happy. I'm just disappointed in British Airways.",2,"After paying $6500 ticket family (including pay $400 sit together traveling kids), ran chicken dinners. My kid picky wont eat vegetarian curry. dont mind curry, fact thought pretty good. But least maybe feed kid first check. understand run pay much. The explanation airline greedy try save nickel make everyone happy. I'm disappointed British Airways."
19,19,0.0,0.439,0.561,0.9883,0.001457445090636611,0.013196171261370182,0.9853464365005493,"  An excellent flight on BA CityFlyer. The plane was clean, comfortable and spacious. Crew were friendly, and I was very pleasantly surprised to be offered a choice of complimentary alcoholic beverages on this one hour flight! Departure was on-time, and I appreciated the cockpit keeping us updated (and encouraging us to enjoy the views as we came into land at London City). An easy and enjoyable flight - just as it should be!",8,"An excellent flight BA CityFlyer. The plane clean, comfortable spacious. Crew friendly, pleasantly surprised offered choice complimentary alcoholic beverage one hour flight! Departure on-time, appreciated cockpit keeping u updated (and encouraging u enjoy view came land London City). An easy enjoyable flight - be!"
20,20,0.0,0.505,0.495,0.9402,0.002574561396613717,0.027190595865249634,0.9702348709106445,"    Crew were amazing and attentive, nothing was missed out by them. Will definitely choose BA in the future. Also have to praise the food. The choice was sufficient and delicious for a short business flight",10,"Crew amazing attentive, nothing missed them. Will definitely choose BA future. Also praise food. The choice sufficient delicious short business flight"
